atributo,importancia
categorical__tracado_via_Rotatória;Retorno Regulamentado,0.0
categorical__tracado_via_Rotatória;Retorno Regulamentado;Curva,0.0
categorical__tracado_via_Rotatória;Retorno Regulamentado;Desvio Temporário;Em Obras,0.0
categorical__tracado_via_Rotatória;Retorno Regulamentado;Interseção de Vias,0.0
categorical__tracado_via_Rotatória;Curva;Viaduto;Interseção de Vias,0.0
categorical__tracado_via_Rotatória;Curva;Interseção de Vias,0.0
categorical__tracado_via_Rotatória;Curva;Aclive,0.0
categorical__tracado_via_Rotatória;Curva,0.0
categorical__tracado_via_Retorno Regulamentado;Interseção de Vias;Aclive;Reta;Rotatória,0.0
categorical__tracado_via_Retorno Regulamentado;Interseção de Vias;Reta,0.0
categorical__tracado_via_Retorno Regulamentado;Interseção de Vias;Rotatória,0.0
categorical__tracado_via_Retorno Regulamentado;Interseção de Vias;Viaduto;Reta,0.0
categorical__tracado_via_Retorno Regulamentado;Reta,0.0
categorical__tracado_via_Retorno Regulamentado;Reta;Aclive,0.0
categorical__tracado_via_Retorno Regulamentado;Reta;Declive,0.0
categorical__tracado_via_Retorno Regulamentado;Reta;Em Obras,0.0
categorical__tracado_via_Retorno Regulamentado;Reta;Interseção de Vias,0.0
categorical__tracado_via_Retorno Regulamentado;Reta;Interseção de Vias;Declive,0.0
categorical__tracado_via_Retorno Regulamentado;Reta;Rotatória,0.0
categorical__tracado_via_Retorno Regulamentado;Reta;Viaduto,0.0
categorical__tracado_via_Retorno Regulamentado;Rotatória,0.0
categorical__tracado_via_Retorno Regulamentado;Rotatória;Interseção de Vias,0.0
categorical__tracado_via_Retorno Regulamentado;Túnel,0.0
categorical__tracado_via_Retorno Regulamentado;Viaduto,0.0
categorical__tracado_via_Retorno Regulamentado;Viaduto;Curva,0.0
categorical__tracado_via_Retorno Regulamentado;Viaduto;Interseção de Vias,0.0
categorical__tracado_via_Rotatória,0.0
categorical__tracado_via_Rotatória;Aclive,0.0
categorical__tracado_via_Rotatória;Aclive;Reta;Interseção de Vias,0.0
categorical__tracado_via_Rotatória;Retorno Regulamentado;Interseção de Vias;Declive,0.0
categorical__tracado_via_Rotatória;Retorno Regulamentado;Reta;Interseção de Vias,0.0
categorical__tracado_via_Ponte;Declive;Reta;Em Obras,0.0
categorical__tracado_via_Viaduto;Reta;Em Obras;Aclive,0.0
categorical__tracado_via_Viaduto;Interseção de Vias;Curva;Aclive,0.0
categorical__tracado_via_Viaduto;Interseção de Vias;Ponte;Reta;Em Obras,0.0
categorical__tracado_via_Viaduto;Interseção de Vias;Reta,0.0
categorical__tracado_via_Viaduto;Interseção de Vias;Rotatória,0.0
categorical__tracado_via_Viaduto;Reta,0.0
categorical__tracado_via_Viaduto;Reta;Aclive,0.0
categorical__tracado_via_Viaduto;Reta;Aclive;Interseção de Vias,0.0
categorical__tracado_via_Viaduto;Reta;Declive,0.0
categorical__tracado_via_Viaduto;Reta;Declive;Interseção de Vias,0.0
categorical__tracado_via_Viaduto;Reta;Em Obras,0.0
categorical__tracado_via_Viaduto;Reta;Interseção de Vias,0.0
categorical__tracado_via_Rotatória;Viaduto,0.0
categorical__tracado_via_Viaduto;Reta;Retorno Regulamentado,0.0
categorical__tracado_via_Viaduto;Reta;Rotatória,0.0
categorical__tracado_via_Viaduto;Retorno Regulamentado,0.0
categorical__tracado_via_Viaduto;Retorno Regulamentado;Curva,0.0
categorical__tracado_via_Viaduto;Rotatória,0.0
categorical__tracado_via_Viaduto;Rotatória;Interseção de Vias,0.0
categorical__tracado_via_Viaduto;Rotatória;Retorno Regulamentado;Interseção de Vias,0.0
categorical__uso_solo_(null),0.0
categorical__uso_solo_Rural,0.0
categorical__uso_solo_Urbano,0.0
categorical__tracado_via_Viaduto;Interseção de Vias,0.0
categorical__tracado_via_Viaduto;Em Obras;Reta,0.0
categorical__tracado_via_Viaduto;Declive;Rotatória,0.0
categorical__tracado_via_Viaduto;Declive;Curva,0.0
categorical__tracado_via_Rotatória;Viaduto;Interseção de Vias,0.0
categorical__tracado_via_Rotatória;Viaduto;Interseção de Vias;Reta,0.0
categorical__tracado_via_Rotatória;Viaduto;Interseção de Vias;Retorno Regulamentado;Reta,0.0
categorical__tracado_via_Rotatória;Viaduto;Reta;Interseção de Vias,0.0
categorical__tracado_via_Túnel,0.0
categorical__tracado_via_Túnel;Curva,0.0
categorical__tracado_via_Túnel;Curva;Declive,0.0
categorical__tracado_via_Túnel;Curva;Retorno Regulamentado,0.0
categorical__tracado_via_Túnel;Desvio Temporário;Ponte;Viaduto;Retorno Regulamentado;Rotatória;Em Obras,0.0
categorical__tracado_via_Túnel;Reta,0.0
categorical__tracado_via_Túnel;Reta;Declive,0.0
categorical__tracado_via_Viaduto,0.0
categorical__tracado_via_Viaduto;Aclive,0.0
categorical__tracado_via_Viaduto;Aclive;Curva,0.0
categorical__tracado_via_Viaduto;Aclive;Reta,0.0
categorical__tracado_via_Viaduto;Curva,0.0
categorical__tracado_via_Viaduto;Curva;Aclive,0.0
categorical__tracado_via_Viaduto;Curva;Declive,0.0
categorical__tracado_via_Viaduto;Curva;Declive;Em Obras,0.0
categorical__tracado_via_Viaduto;Curva;Retorno Regulamentado,0.0
categorical__tracado_via_Viaduto;Declive,0.0
categorical__tracado_via_Retorno Regulamentado;Interseção de Vias,0.0
categorical__tracado_via_Retorno Regulamentado;Em Obras,0.0
categorical__tracado_via_Retorno Regulamentado;Desvio Temporário;Em Obras,0.0
categorical__tracado_via_Reta;Desvio Temporário;Em Obras,0.0
categorical__tracado_via_Reta;Declive;Interseção de Vias,0.0
categorical__tracado_via_Reta;Declive;Interseção de Vias;Viaduto,0.0
categorical__tracado_via_Reta;Declive;Ponte,0.0
categorical__tracado_via_Reta;Declive;Retorno Regulamentado,0.0
categorical__tracado_via_Reta;Declive;Retorno Regulamentado;Interseção de Vias,0.0
categorical__tracado_via_Reta;Declive;Rotatória,0.0
categorical__tracado_via_Reta;Declive;Viaduto,0.0
categorical__tracado_via_Reta;Desvio Temporário,0.0
categorical__tracado_via_Reta;Desvio Temporário;Declive,0.0
categorical__tracado_via_Reta;Desvio Temporário;Declive;Em Obras,0.0
